,date,title,description,link
10,20161202,Zuwanderung: Der Showdown,"Die Zeit drängt: Bis am 9. Februar 2017 muss die Zuwanderungs-Initiative der SVP umgesetzt sein, so steht es in der Verfassung. Darum peitscht man das Geschäft nun durch die Räte. Am Donnerstag hat der Ständerat entschieden, wie er die Initiative umsetzen will. Am Montag ist der Nationalrat dran.",https://www.srf.ch/sendungen/arena/zuwanderung-der-showdown
11,20161111,Wieso Trump?,"Wie war diese Wahl möglich? Diese Frage stellen sich viele nach der Kür von Donald Trump zum US-Präsidenten. Ist Trump ein Populist, der dank Hass und Angst gewählt wurde? Oder versteht er einfach das Volk – im Gegensatz zum politischen Establishment, zur «Classe Politique»?",https://www.srf.ch/sendungen/arena/wieso-trump
12,20170519,Eine tierische «Arena»,"Am sechsten Tag schuf Gott Mensch und Landtiere. Seither haben die einen mehr Rechte als die anderen. Zumindest in der Schweiz rückt der Tierschutz aber mehr in den Fokus, wie verschiedene Initiativen zeigen. Brauchen wir mehr Rechte für Tiere?",https://www.srf.ch/sendungen/arena/eine-tierische-arena
13,20170901,Wer rettet meine Rente?,"Nun greift Dreifuss ein! Für die grosse Rentendebatte steigt alt Bundesrätin Ruth Dreifuss in die «Arena». Ihr Gegner im Ring ist eine Legende der liberalen Politik: Der frühere Präsident der Economiesuisse, Gerold Bührer. Ist diese Reform bitter nötig oder brandgefährlich?",https://www.srf.ch/sendungen/arena/wer-rettet-meine-rente
14,20160610,Frauen am Herd?,"Wieso bleiben so viele gut ausgebildete Frauen am Herd, sobald sie Kinder bekommen? Liegt es daran, dass Familie und Beruf kaum vereinbar sind? Oder liegt es vielleicht doch an den natürlichen Unterschieden zwischen Mann und Frau?",https://www.srf.ch/sendungen/arena/frauen-am-herd
15,20171110,Kampf um die Jets – Bundesrat Parmelin in der Arena,Neue Kampfjets – dafür will der Bundesrat bis zu 8 Milliarden Franken ausgeben. Doch braucht die Schweiz überhaupt eine Luftwaffe? Und: Muss sie so teuer sein? Nun steigt Bundesrat Parmelin selber in den Ring und verteidigt in der «Arena» seine 8-Milliarden-Luftwaffe.,https://www.srf.ch/sendungen/arena/kampf-um-die-jets-bundesrat-parmelin-in-der-arena
16,20180518,Sollen Tamynique heiraten dürfen?,"Auch homosexuelle Paare in der Schweiz sollen ein Recht auf die Ehe haben, findet die GLP. Was spricht für, was gegen die «Ehe für alle»? Gegner argumentieren, dass als nächstes das Recht auf Adoption für homosexuelle Paare gefordert wird - und dann die Leihmutterschaft. Ginge das zu weit?",https://www.srf.ch/sendungen/arena/sollen-tamynique-heiraten-duerfen
17,20190215,Alle Macht den Alten?,"Jahr für Jahr werden wir älter – und zwar nicht nur jede und jeder Einzelne von uns, sondern auch die Schweiz insgesamt. Wo profitieren wir von den älteren Generationen, und wo entwickeln sich Spannungen? Werden die Jungen künftig überstimmt? Werden sie bei der Rente sogar betrogen?",https://www.srf.ch/sendungen/arena/alle-macht-den-alten
18,20170317,Fremde Redner,"Laute Proteste, angekündigte Demonstrationen und schliesslich die Absage: Die Wogen gingen hoch, als bekannt wurde, dass der Auftritt des türkischen Aussenministers bevorstand. Soll türkische Propaganda in der Schweiz verboten werden? Oder schützt die Meinungsäusserungsfreiheit auch fremde Redner?",https://www.srf.ch/sendungen/arena/fremde-redner
19,20190201,"Spitzenmedizin, aber bitte günstig!",Das Bundesgericht hat ein Machtwort gesprochen: Von Prämienverbilligungen muss auch der Mittelstand profitieren dürfen. Sind staatliche Verbilligungen die Lösung für die hohen Prämien - oder braucht es echte Sparmassnahmen im Gesundheitssystem?,https://www.srf.ch/sendungen/arena/spitzenmedizin-aber-bitte-guenstig
20,20170324,Auf in die EU?,"Vor 25 Jahren war der EU-Beitritt für viele eine Option, heute kommt schon die Frage danach einem Tabubruch gleich. Nur wenige – wie die schweizerisch-europäische Jugendorganisation YES – wollen noch immer in die EU. Woher diese grosse Einigkeit? Und: Ist verrückt, wer heute noch an die EU glaubt?",https://www.srf.ch/sendungen/arena/auf-in-die-eu
21,20160422,Abstimmungs-Arena: Asylgesetzrevision,In einem sind sich alle einig: Lange Asylverfahren sind aufwendig und teuer. Mit der Asylgesetzrevision sollen nun die Verfahren beschleunigt werden. Die SVP ergriff letzten Herbst dagegen das Referendum. Grund: die Asylgesetzrevision setze mit sogenannten «Gratisanwälten» falsche Anreize.,https://www.srf.ch/sendungen/arena/abstimmungs-arena-asylgesetzrevision
22,20160924,«Inländervorrang light» - ist das der Volkswille?,Der Nationalrat debattierte am Mittwoch über die Umsetzung der «Masseneinwanderungsinitiative». Das Resultat: Eine Meldepflicht für offene Stellen in Zeiten von hoher Zuwanderung – ein «Inländervorrang light». Ist die Initiative der SVP damit genügend umgesetzt oder nicht?,https://www.srf.ch/sendungen/arena/inlaendervorrang-light-ist-das-der-volkswille
23,20180921,Präsidenten-«Arena»: Politik am Volk vorbei?,"Während beim Rahmenabkommen ein Abschluss in weiter Ferne liegt, hat das Parlament bei Steuerreform, AHV und Waffenrecht Lösungen gefunden. Doch haben diese vor dem Volk Bestand? Oder politisiert Bundesbern am Volk vorbei? Diese Fragen diskutieren die Parteipräsidenten in der «Arena».",https://www.srf.ch/sendungen/arena/praesidenten-arena-politik-am-volk-vorbei
24,20190222,"Achtung, fertig, Wahlen!","SP und SVP verlieren, Grüne und Grünliberale gewinnen. So würden die Wahlresultate aktuell aussehen. Bleibt das so? Und wie wirkt sich dieses Zwischenresultat auf die Politik aus? Kommt jetzt ein scharfes CO2-Gesetz? Und wie geht es weiter in der Europa-Debatte?",https://www.srf.ch/sendungen/arena/achtung-fertig-wahlen
25,20180907,Schweizer Waffen in Bürgerkriegsländer?,"Der Bundesrat will die Exportbestimmungen für Kriegsmaterial lockern. Befürworter sagen, dies sei nötig für den Erhalt unserer Arbeitsplätze und der Wehrfähigkeit der Schweiz. Gegner warnen vor Missbrauchsgefahr und einem Verrat an Schweizer Werten.",https://www.srf.ch/sendungen/arena/schweizer-waffen-in-buergerkriegslaender
26,20160826,Arena: An der Südgrenze,"Sie sitzen seit Wochen in Como fest. Sie sind gestrandet an der Schweizer Grenze. Und hoffen noch immer auf die Reise in den Norden. Wie geht die Schweiz mit den Flüchtlingen um? Stimmen die Vorwürfe, dass die Südgrenze kaum mehr passierbar ist? Und was sind die Anliegen des Tessins?",https://www.srf.ch/sendungen/arena/arena-an-der-suedgrenze
27,20161014,"Jobs weg, Freiheit weg – globalisieren wir die Schweiz kaputt?",Neue globale Handelsabkommen wie TTIP sollen die Wirtschaft auf Touren bringen. Aber würden sie das wirklich – oder schaden sie eher den Konsumenten? Und: Bedrohen die neuartigen Abkommen sogar unsere Demokratie?,https://www.srf.ch/sendungen/arena/jobs-weg-freiheit-weg-globalisieren-wir-die-schweiz-kaputt
28,20171215,Schnüffeln im Sozialstaat?,"Die Überwachung von IV-Bezügern soll erlaubt werden. Sind Detektive mit Kamera und GPS-Tracker ein wichtiges Mittel, um Missbrauch aufzudecken – oder werden hier ehrliche Bürger schikaniert und ausspioniert? Sind unsere Sozialwerke ein wichtiges Sicherheitsnetz oder eine allzu gemütliche Hängematte?",https://www.srf.ch/sendungen/arena/schnueffeln-im-sozialstaat
29,20181109,«Abstimmungs-Arena»: Selbstbestimmungs-Initiative,Die Abstimmung über die Selbstbestimmungs-Initiative (SBI) der SVP ist die wichtigste Abstimmung seit langem – darin sind Befürworter und Gegner einig. Doch ansonsten gehen die Meinungen weit auseinander. Rettet die SBI unsere Volksrechte? Oder gefährdet sie die Schweiz?,https://www.srf.ch/sendungen/arena/abstimmungs-arena-selbstbestimmungs-initiative
30,20161021,Das heilige Land,Unter ihrem neuen Präsidenten Gerhard Pfister rückt die CVP scharf nach rechts – und will in der Schweiz christliche Werte verteidigen. Braucht unser Land diese Rückbesinnung auf das Christentum? Oder ist die Schweiz ebenso sehr ein jüdisches und ein muslimisches Land?,https://www.srf.ch/sendungen/arena/das-heilige-land
31,20171013,Politik – alles nur gekauft?,"Politik kostet Geld. Woher es kommt, weiss jedoch niemand. Das will die Transparenz-Initiative nun ändern. Parteien und Komitees sollen transparent machen, woher sie wie viel Geld haben. Gegner erwidern: Die Initiative verletze die Privatsphäre der Bürger.",https://www.srf.ch/sendungen/arena/politik-alles-nur-gekauft
32,20160701,"Zu alt, um zu leben?","Immer mehr alte Menschen haben den Wunsch, sich mit Hilfe einer Sterbehilfeorganisation das Leben nehmen zu können – auch wenn sie nicht todkrank sind. Ist das richtig und gehört auch ein selbstbestimmter Tod zum Leben? Oder führt das zu Druck auf alte Menschen, frühzeitig aus dem Leben zu scheiden?",https://www.srf.ch/sendungen/arena/zu-alt-um-zu-leben
33,20180511,«Abstimmungs-Arena»: Vollgeld-Initiative,"Die Vollgeld-Initiative ist die komplizierteste Vorlage seit Ewigkeiten. Doch nun wird in der «Abstimmungsarena» erklärt, worum es geht – und Bundesrat Ueli Maurer tritt an gegen die Initianten. Wer soll unser Geld schöpfen? Und wer profitiert davon?",https://www.srf.ch/sendungen/arena/abstimmungs-arena-vollgeld-initiative
34,20160617,Gut genug für den Schweizer Pass?,"Die Schweiz hat europaweit eines der strengsten Einbürgerungsregimes. Was erwarten wir von Ausländern, die eingebürgert werden wollen? Sind die Hürden zum Pass heute zu hoch? Oder bürgert die Schweiz Ausländer zu schnell und zu unkritisch ein?",https://www.srf.ch/sendungen/arena/gut-genug-fuer-den-schweizer-pass
35,20181116,Unser Europarat,Ob beim Referendum gegen Versicherungsdetektive oder bei der aktuellen SVP-Initiative: Alle reden vom Europäischen Gerichtshof für Menschenrechte und vom Europarat. Doch was machen diese zwei überhaupt? Die «Arena» lädt zu einer Diskussion am runden Tisch.,https://www.srf.ch/sendungen/arena/unser-europarat
36,20170331,"Klick, Like, Hass","Beleidigungen, Ehrverletzungen, Morddrohungen – im Internet gehört das zur Tagesordnung. Bürger und Politiker sind betroffen. Haben wir den Anstand verloren? Verroht nun auch die Politik? Und: Woher kommt diese neue Lust am Hass?",https://www.srf.ch/sendungen/arena/klick-like-hass
37,20180622,SRG und Private – wer profitiert vom neuen Mediengesetz?,Wie weiter mit den Schweizer Medien? Drei Monate nach «No Billag» flammt diese Diskussion wieder auf. Wofür sollen wir in Zukunft Gebühren zahlen? Muss die SRG sich verändern? Und: Wie bedroht sind Qualität und Meinungsvielfalt in der Presse?,https://www.srf.ch/sendungen/arena/srg-und-private-wer-profitiert-vom-neuen-mediengesetz
38,20170915,Wer wird Bundesrat?,"Wer wird neue Bundesrätin oder neuer Bundesrat? In der «Arena» treffen sich die sieben Parteipräsidenten. Setzen sie auf Isabelle Moret, Ignazio Cassis oder Pierre Maudet? Ist das Tessin oder sind die Frauen an der Reihe? Und: Zählt bei der Wahl Kalkül – oder Kompetenz?",https://www.srf.ch/sendungen/arena/wer-wird-bundesrat
39,20180629,Anpacken statt Kofferpacken!,"Erst die Arbeit, dann das Vergnügen! Das gilt auch für Sie, liebe Politiker. Denn noch sind keine Ferien – wichtige Probleme sind ungelöst. Die Zeit drängt, ob bei den Bilateralen oder der AHV. Und auch die Flüchtlingskrise wird wieder zum Thema.",https://www.srf.ch/sendungen/arena/anpacken-statt-kofferpacken
40,20180302,Bauern auf die Schlachtbank?,Für unsere Bauern könnte es existenzbedrohend sein: Ein Freihandelsabkommen mit den südamerikanischen Mercosur-Staaten. Das behauptet Bauern-Präsident Markus Ritter. Seine Gegner aus der Industrie halten dagegen: Ein Abkommen sei wichtig – und Ritter habe jedes Augenmass verloren. Wer hat Recht?,https://www.srf.ch/sendungen/arena/bauern-auf-die-schlachtbank
41,20181026,«Abstimmungs-Arena»: Überwachung Sozialversicherte,"Sollen Sozialversicherungen Detektive einsetzen können, um Missbrauch aufzudecken? Unter welchen Bedingungen und mit welchen Mitteln sollen Versicherte überwacht werden? Befürworter sagen, das neue Gesetz sei notwendig und verhältnismässig. Kritiker befürchten hingegen eine grenzenlose Überwachung.",https://www.srf.ch/sendungen/arena/abstimmungs-arena-ueberwachung-sozialversicherte
42,20160415,Der Notfallplan - müssen wir uns gegen die Flüchtlinge wehren?,"Die Balkanroute ist zu, die Flüchtlingsroute übers Mittelmeer nach Italien rückt wieder in den Fokus. Österreich schliesst die Grenze – und Frankreich könnte erneut dasselbe tun. Übrig bleibt als Ziel: die Schweiz. Was erwartet uns diesen Sommer?",https://www.srf.ch/sendungen/arena/der-notfallplan-muessen-wir-uns-gegen-die-fluechtlinge-wehren
43,20190208,Heidis Heimatland?,"Es ist Wahljahr – und die Frage stellt sich akuter denn je. Wer sind wir? Ist die Schweiz die Nation der Alphörner und Cervelats, eine Nation mit christlicher Leitkultur? Oder sind wir ein Kleinstaat, dessen Erfolg seit jeher von Offenheit und Austausch geprägt war?",https://www.srf.ch/sendungen/arena/heidis-heimatland
44,20171027,Rente - nun erst mit 70?,"Bundesrat Berset lädt die Gewinner und die Verlierer der Abstimmung zur Altersvorsorge 2020 an den runden Tisch. Das Ziel: eine neue Reform, denn die ist dringend notwendig. Aber wie soll diese aussehen, damit sie vor dem Stimmvolk besteht? Und: Müssen wir bald viel länger arbeiten?",https://www.srf.ch/sendungen/arena/rente-nun-erst-mit-70
45,20170908,Abstimmungs-Arena: «Altersvorsorge 2020»,"Am 24. September stimmen wir über die «Altersvorsorge 2020» ab. Sie betrifft uns alle: Frauen sollen bis 65 arbeiten, die Pensionskassen saniert werden und die Renten stabil bleiben. Ist die Reform dringend nötig und ein wichtiger Kompromiss – oder handelt es sich um eine gefährliche «Scheinreform»?",https://www.srf.ch/sendungen/arena/abstimmungs-arena-altersvorsorge-2020
46,20180105,No Billag - jetzt redet das Volk!,Braucht es Radio- und TV-Gebühren? Das ist die dominierende politische Frage im neuen Jahr. Nun greifen die Billag-Zahler in die Debatte ein – in der grossen «Publikumsarena» zu No Billag.,https://www.srf.ch/sendungen/arena/no-billag-jetzt-redet-das-volk
47,20161125,Vergoldete Bauern?,"Die Schweiz spart – und das erfolgreich: bei den Ausgaben für Bildung, Entwicklungshilfe, selbst bei der Armee. Die Bauern aber blieben etwa in der Sparrunde vom letzten Dezember verschont. Ist das richtig, weil die Bauern zu unserer Tradition gehören? Oder müssten auch sie vermehrt Federn lassen?",https://www.srf.ch/sendungen/arena/vergoldete-bauern
48,20181019,«Publikumsarena»: Selbstbestimmungsinitiative,Mit der Selbstbestimmungsinitiative will die SVP die Bundesverfassung in allen Fällen über das Völkerrecht stellen. Eine Selbstverständlichkeit? Oder das Ende des «Erfolgsmodells Schweiz»? Die «Publikumsarena» sucht Antworten.,https://www.srf.ch/sendungen/arena/publikumsarena-selbstbestimmungsinitiative
49,20161007,Krankes Gesundheitssystem?,"Wenn im Herbst Post der Krankenkasse ins Haus flattert, steigen meistens die Prämien: Dieses Mal um durchschnittlich 4.5 %. Das schmerzt im Portemonnaie. Warum zahlen wir jedes Jahr mehr für unsere Gesundheitsversorgung? Und wer ist Schuld daran?",https://www.srf.ch/sendungen/arena/krankes-gesundheitssystem
50,20180112,«Präsidialarena» mit Alain Berset,"Neues Jahr, neues Glück! Kann der neue Bundespräsident die Renten retten? Lassen sich die Gesundheitskosten bremsen? Und: Kann unser Verhältnis zur EU im 2018 geklärt werden?",https://www.srf.ch/sendungen/arena/praesidialarena-mit-alain-berset
51,20160401,Angst vor dem Islam,Islamistisch motivierte Anschläge wie jüngst in Brüssel führen auch in der Schweiz zu Angst vor dem Islam. Wie gehen die Muslime damit um? Und: Was hat der Islam mit den IS-Selbstmordattentätern zu tun?,https://www.srf.ch/sendungen/arena/angst-vor-dem-islam
52,20171124,Schweiz und EU – 25 Jahre nach dem EWR-Nein,Trotz der freundlichen Worte von EU-Kommissionspräsident Jean-Claude Juncker: Auch 25 Jahre nach dem EWR-Nein ist unser Verhältnis zur EU schwierig. Nun steigen die damaligen Kontrahenten Christoph Blocher und Franz Steinegger nochmals in den Ring.,https://www.srf.ch/sendungen/arena/schweiz-und-eu-25-jahre-nach-dem-ewr-nein
53,20190111,Kaltherzige Schweiz?,"Die Schweiz ist eines der reichsten Länder der Welt. Aber auch hier sind Menschen von Armut betroffen. Im Winter heisst das: Wer kein Geld hat für einen warmen Mantel, der friert. Ermöglicht Sozialhilfe heute allen in der Schweiz ein würdiges Leben – oder ist sie zu knapp bemessen?",https://www.srf.ch/sendungen/arena/kaltherzige-schweiz
54,20181102,«Abstimmungs-Arena»: Hornkuh-Initiative,"Mehr Kühe mit Hörnern – das will die Hornkuh-Initiative. Heute werden die meisten Kühe enthornt, was den Tieren grosse Schmerzen bereite, so die Initianten. Sie fordern Geld für Halter von behornten Kühen und Ziegen. Die Gegner warnen indes vor einem erhöhten Verletzungsrisiko für Mensch und Tier.",https://www.srf.ch/sendungen/arena/abstimmungs-arena-hornkuh-initiative
55,20170428,Abstimmungs-Arena: «Energiestrategie»,"Langfristig aus der Kernenergie aussteigen und stattdessen erneuerbare Energien fördern – das will das neue Energiegesetz. Dies sei im Sinne der Nachhaltigkeit wichtig für die Zukunft der Schweiz, sagen die Befürworter. Die Gegner hingegen warnen vor Versorgungsengpässen und hohen Kosten.",https://www.srf.ch/sendungen/arena/abstimmungs-arena-energiestrategie
56,20180504,EU-Debatte – die Wirtschaft erwacht,"Der Bundesrat will es, fast alle Parteien wollen es und nun will es auch die Wirtschaft – ein Rahmenabkommen mit der EU. Gleichzeitig warnen die Gewerkschaften vor Billigarbeitern aus der EU und drohen mit Opposition. Wem nützt das Rahmenabkommen – und was kostet es?",https://www.srf.ch/sendungen/arena/eu-debatte-die-wirtschaft-erwacht
57,20160513,Abstimmungs-Arena: Service-Public-Initiative,"Managerlöhne bei Post, SBB und Swisscom sollen gekürzt werden. Dies fordert die Service-Public-Initiative. Ausserdem dürften die bundesnahen Betriebe im Bereich der Grundversorgung keinen Gewinn mehr machen. Würde dies den Service public stärken – oder ruinieren?",https://www.srf.ch/sendungen/arena/abstimmungs-arena-service-public-initiative
58,20160506,Abstimmungs-Arena: Milchkuh-Initiative,"Mehr Geld für die Strasse – das will die sogenannte «Milchkuh-Initiative». Das führe zu weniger Stau und flüssigerem Verkehr, sagen die Befürworter. Das stimmt nicht, sagen die Gegner: Mehr Strassen führe lediglich zu noch mehr Verkehr – und ausserdem drohe bei einem Ja ein Loch in der Bundeskasse.",https://www.srf.ch/sendungen/arena/abstimmungs-arena-milchkuh-initiative
59,20170303,Rentenreform auf der Kippe?,"Es braucht eine Rentenreform – darin sind sich fast alle Politiker einig. Der Grund: Wir leben immer länger, die aktive Generation zahlt für immer mehr Ältere. Nur: Wie soll die Reform aussehen? Und: Wie kann das Stimmvolk davon überzeugt werden, dass es mehr für seine Vorsorge zahlen soll?",https://www.srf.ch/sendungen/arena/rentenreform-auf-der-kippe
60,20170310,Sollte die nicht bei den Kindern sein?,"Wieso ist die nicht bei ihren Kindern? Das hören viele Frauen, die wie Christa Rigozzi bald nach der Geburt wieder arbeiten. Zum Frauentag fragt die «Arena»: Sind Frauen heute gleichberechtigt? Wieso gibt es so wenige Chefinnen? Und umgekehrt: Hat nicht auch die traditionelle Familie ihre Vorteile?",https://www.srf.ch/sendungen/arena/sollte-die-nicht-bei-den-kindern-sein
61,20160930,Rentenreform 2020: Rettung oder Reinfall?,"Die Zukunft unserer Renten – darüber debattiert der Nationalrat heftig. Wird es künftig weniger Rente geben? Oder müssen allfällige Kürzungen anderswo kompensiert werden, damit Rentner auch weiterhin gleich viel im Portemonnaie haben wie bisher?",https://www.srf.ch/sendungen/arena/rentenreform-2020-rettung-oder-reinfall
62,20160408,Schweiz ohne Gott?,Zwei muslimische Schüler wollen ihrer Lehrerin aus religiösen Gründen die Hand nicht geben. Ist das die Spitze des Eisberges eines Integrationsproblems oder nur ein Einzelfall? Und: Hat Religion überhaupt etwas an den Schulen verloren?,https://www.srf.ch/sendungen/arena/schweiz-ohne-gott
63,20170421,Ü50 - chancenlos?,"Den Job zu verlieren – der Albtraum jedes Arbeitnehmenden. Eine Altersgruppe trifft es besonders hart: Arbeitslose über 50 finden kaum mehr eine neue Stelle. Weshalb verzichten Firmen auf erfahrene Arbeitskräfte? Und: Was müssen Betroffene machen, um wieder attraktiver für die Unternehmen zu werden?",https://www.srf.ch/sendungen/arena/ue50-chancenlos
64,20180323,Sparen bei den Schwächsten?,Die Schraube anziehen bei den Armen – das wollen viele Kantone und der Nationalrat. Sozialhilfe und Ergänzungsleistungen sind unter Druck. Zu Recht? Sind wir zu grosszügig? Oder reicht die staatliche Unterstützung heute schon kaum zum Leben?,https://www.srf.ch/sendungen/arena/sparen-bei-den-schwaechsten
65,20171006,Burka – da sehen wir schwarz!,"Die Burka gibt zu reden. In Österreich ist sie schon illegal, nun will eine Initiative ein generelles Verhüllungsverbot auch in der Schweiz in die Verfassung schreiben. Gegner der Vorlage sprechen von einem Scheinproblem: Bei uns gebe es schlicht keine Burkas. Wer hat Recht?",https://www.srf.ch/sendungen/arena/burka-da-sehen-wir-schwarz
66,20180928,Doppelrücktritt – Bremse fürs EU-Dossier?,Bundesrat Johann Schneider-Ammann tritt zurück! Bundesrätin Doris Leuthard tritt zurück! Bundesbern ist in einer turbulenten Phase. Gibt es am Freitag trotzdem einen wegweisenden Entscheid zum Rahmenabkommen? Oder sind damit die Verhandlungen mit der EU langfristig blockiert?,https://www.srf.ch/sendungen/arena/doppelruecktritt-bremse-fuers-eu-dossier
67,20160902,Abstimmungs-Arena: Initiative Grüne Wirtschaft,"Einen ökologischen Fussabdruck von einer Erde: Das fordert die Initiative «Grüne Wirtschaft». Und: Das Ziel soll bis 2050 erreicht sein. Zu schnell und zu viel, monieren die Gegner. Ausserdem leisteten die Wirtschaft und die Schweiz heute schon gute Arbeit in Sachen Umweltschutz.",https://www.srf.ch/sendungen/arena/abstimmungs-arena-initiative-gruene-wirtschaft
68,20180119,«Abstimmungsarena»: Finanzordnung 2021,"Darf der Bund weiterhin Steuern erheben? Ja, sagt das Parlament einstimmig. Von links bis rechts sind sich alle einig: Der Bund soll weiterhin die direkte Bundes- und die Mehrwertsteuer einziehen, um seine Aufgaben wahrzunehmen. Nur: Ist das gut so? Oder gehören diese Steuern abgeschafft?",https://www.srf.ch/sendungen/arena/abstimmungsarena-finanzordnung-2021
69,20171208,Was stoppt Terroristen?,Weihnachtsmärkte in der Schweiz setzen dieses Jahr auf Betonblöcke: Sie sollen Terroristen abhalten. Doch kann man so einen Anschlag wirklich verhindern? Laut Nachrichtendienst gibt es immer mehr gefährliche Risikopersonen in der Schweiz. Wie können wir uns schützen?,https://www.srf.ch/sendungen/arena/was-stoppt-terroristen
70,20171103,No Billag - Ja oder Nein?,"Ist die SRG, wie wir sie kennen, bald Geschichte – und viele private Radio- und Fernsehstationen auch? «No Billag» fordert die Abschaffung aller Radio- und TV-Gebühren. Es gäbe nur noch kommerzielle Sender in der Schweiz. Was spricht dafür? Was spricht dagegen?",https://www.srf.ch/sendungen/arena/no-billag-ja-oder-nein
71,20171201,Impf oder stirb?,"Die Grippezeit steht kurz bevor. Sollte man sich deshalb gegen die Grippe impfen lassen – oder ist die Grippeimpfung unnötig? Und was ist mit gefährlicheren Krankheiten wie Starrkrampf oder Kinderlähmung? Ärzte, Fachleute und Impfgegner stehen in der «Arena».",https://www.srf.ch/sendungen/arena/impf-oder-stirb
72,20171020,Ungebremste Mobilität,"Stau auf den Strassen, verspätete Züge, vollgestopfte Trams. Es wird eng auf Strasse und Schiene. In der Schweiz nimmt die Mobilität seit Jahren zu. Wie lange noch kann unsere Verkehrsinfrastruktur dem standhalten? Und: Hat es in der Schweiz überhaupt Platz für mehr Strassen und längere Zugperrons?",https://www.srf.ch/sendungen/arena/ungebremste-mobilitaet
73,20180126,Trump vs. WEF!,"Donald Trump und das WEF – da treffen Welten aufeinander. Wer wird das Treffen in Davos stärker prägen? Wirtschaftsbosse und Staatschefs, die auf Freihandel und Globalisierung setzen – oder Donald Trump und sein «America first»?",https://www.srf.ch/sendungen/arena/trump-vs-wef
74,20180914,«Abstimmungs-Arena»: Fair-Food-Initiative,"Isst die Schweiz fair genug? Nein, finden die Initianten der Fair-Food-Initiative. Deshalb wollen sie mehr Lebensmittel, die umwelt- und tierfreundlich sowie unter fairen Arbeitsbedingungen hergestellt werden. Die Gegner der Vorlage warnen vor steigenden Preisen, Bürokratie und Handelskonflikten.",https://www.srf.ch/sendungen/arena/abstimmungs-arena-fair-food-initiative
